ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV075156076,252525,52.416397,13.742049,Erkner,15537,15,DE,1,AIR,100,AIR,303,0,0,997360,0,2500,C,EUR,-999
SV075624835,544377,48.102518,11.522108,M³nchen,81379,81,DE,1,AIR,100,AIR,303,0,0,1196832,0,0,C,EUR,-999
SV074744314,534244,53.059988,14.294287,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1672145,0,5000,C,EUR,-999
SV074961294,542196,50.988103,10.313823,Eisenach,99817,99,DE,1,AIR,100,AIR,303,0,0,1254679,0,5000,C,EUR,-999
SV074678201,531541,53.120476,8.768905,Bremen,28237,28,DE,1,AIR,100,AIR,303,0,0,1019359,0,5000,C,EUR,-999
SV075588546,521718,51.120111,14.190635,Bischofswerda,01877,01,DE,1,AIR,100,AIR,303,0,0,797888,0,2500,C,EUR,-999
SV074749210,535289,52.742079,13.233713,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1470137,0,5000,C,EUR,-999
SV075588546,521780,51.124295,14.181543,Bischofswerda,01877,01,DE,1,AIR,100,AIR,303,0,0,1994720,0,2500,C,EUR,-999
SV074678201,531638,53.116539,8.769532,Bremen,28237,28,DE,1,AIR,100,AIR,303,0,0,1093078,0,5000,C,EUR,-999
SV075624835,544343,48.101048,11.52367,M³nchen,81379,81,DE,1,AIR,100,AIR,303,0,0,1196832,0,0,C,EUR,-999
SV075624835,544346,48.100677,11.522548,M³nchen,81379,81,DE,1,AIR,100,AIR,303,0,0,1196832,0,0,C,EUR,-999
SV074744314,534187,53.058682,14.290269,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1633163,0,5000,C,EUR,-999
SV074744314,534188,53.065655,14.26286,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1494701,0,5000,C,EUR,-999
SV074678201,531836,53.067156,8.800645,Bremen,28201,28,DE,1,AIR,100,AIR,303,0,0,906857,0,5000,C,EUR,-999
SV074746970,535416,52.663915,13.494159,Panketal,16341,16,DE,1,AIR,100,AIR,303,0,0,239152.75,0,2500,C,EUR,-999
SV074746970,535433,52.666617,13.494941,Panketal,16341,16,DE,1,AIR,100,AIR,303,0,0,441688,0,2500,C,EUR,-999
SV074674152,511254,52.541253,13.443458,Berlin,10409,10,DE,1,AIR,100,AIR,303,0,0,1275623.5,0,2500,C,EUR,-999
SV074674152,511255,52.541182,13.443647,Berlin,10409,10,DE,1,AIR,100,AIR,303,0,0,1275623.5,0,2500,C,EUR,-999
SV074674152,511273,52.530143,13.459394,Berlin,10407,10,DE,1,AIR,100,AIR,303,0,0,1267217.125,0,2500,C,EUR,-999
SV074678201,531439,53.15151,8.716218,Bremen,28719,28,DE,1,AIR,100,AIR,303,0,0,411682,0,5000,C,EUR,-999
SV074678201,531454,53.151963,8.716944,Bremen,28719,28,DE,1,AIR,100,AIR,303,0,0,603260,0,5000,C,EUR,-999
SV074674152,511311,52.54231,13.448145,Berlin,10409,10,DE,1,AIR,100,AIR,303,0,0,7006522.5,0,2500,C,EUR,-999
SV074678201,531460,53.152441,8.71739,Bremen,28719,28,DE,1,AIR,100,AIR,303,0,0,671993,0,5000,C,EUR,-999
SV074678201,531461,53.151556,8.715595,Bremen,28719,28,DE,1,AIR,100,AIR,303,0,0,432056,0,5000,C,EUR,-999
SV075588546,521625,51.124431,14.187993,Bischofswerda,01877,01,DE,1,AIR,100,AIR,303,0,0,1595776,0,2500,C,EUR,-999
SV075597949,488402,50.0512831063749,8.29866038907156,Wiesbaden,65205,65,DE,1,AIR,100,AIR,303,0,0,2407605,0,2500,C,EUR,-999
SV075524000,534961,53.217894,13.685239,Boitzenburger Land,17268,17,DE,1,AIR,100,AIR,303,0,0,1101370.5,0,5000,C,EUR,-999
SV075043194,487889,50.50906,11.131735,Neuhaus,98724,98,DE,1,AIR,100,AIR,303,0,0,1529475.375,0,5000,C,EUR,-999
SV074749210,535048,52.753086,13.230271,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1568467.375,0,5000,C,EUR,-999
SV074749210,535066,52.753018,13.228476,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,2307131.25,0,5000,C,EUR,-999
SV074744314,534518,53.069793,14.294487,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1865776,0,5000,C,EUR,-999
SV074611234,531371,52.30478,9.48058,Barsinghausen,30890,30,DE,1,AIR,100,AIR,303,0,0,773894,0,5000,C,EUR,-999
SV074674152,511231,52.532017,13.461938,Berlin,10407,10,DE,1,AIR,100,AIR,303,0,0,1504774.25,0,2500,C,EUR,-999
SV074735806,534071,51.947936,14.689904,Guben,03172,03,DE,1,AIR,100,AIR,303,0,0,3779140,0,2500,C,EUR,-999
SV074744303,534131,52.970171,13.332861,Zehdenick,16792,16,DE,1,AIR,100,AIR,303,0,0,1552889.5,0,0,C,EUR,-999
SV074678201,531808,53.088702,8.754184,Bremen,28197,28,DE,1,AIR,100,AIR,303,0,0,936920,0,5000,C,EUR,-999
SV074961294,542269,50.989684,10.300959,Eisenach,99817,99,DE,1,AIR,100,AIR,303,0,0,1652790,0,5000,C,EUR,-999
SV075331459,532315,52.081494,12.872342,Treuenbrietzen,14929,14,DE,1,AIR,100,AIR,303,0,0,1196832,0,2500,C,EUR,-999
SV075597949,488296,50.09982,8.60539,Frankfurt,65933,65,DE,1,AIR,100,AIR,303,0,0,5523840,0,2500,C,EUR,-999
SV074736200,535757,51.435071,14.27202,Hoyerswerda,02977,02,DE,1,AIR,100,AIR,303,0,0,1413630,0,2500,C,EUR,-999
SV074738002,532831,51.653191,14.231126,Drebkau,03116,03,DE,1,AIR,100,AIR,303,0,0,1595776,0,2500,C,EUR,-999
SV075620989,532866,51.46133,14.099593,Lauta,02991,02,DE,1,AIR,100,AIR,303,0,0,398944,0,0,C,EUR,-999
SV074744314,534735,53.058431,14.277465,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1563861,0,5000,C,EUR,-999
SV074756973,533374,52.998341,14.079156,Angerm³nde,16278,16,DE,1,AIR,100,AIR,303,0,0,498680,0,2500,C,EUR,-999
SV074744314,534821,53.061711,14.280777,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1563006,0,5000,C,EUR,-999
SV074961456,487286,50.994802,11.311465,Weimar,99427,99,DE,1,AIR,100,AIR,303,0,0,1481792,0,5000,C,EUR,-999
SV075613737,544635,47.829091,12.12745,Rosenheim,83026,83,DE,1,AIR,100,AIR,303,0,0,1795248,0,0,C,EUR,-999
SV075613737,544667,47.86495,12.109021,Rosenheim,83024,83,DE,1,AIR,100,AIR,303,0,0,3324533.25,0,0,C,EUR,-999
SV074912834,491457,52.345523,14.556254,Frankfurt (Oder),15230,15,DE,1,AIR,100,AIR,303,0,0,1332558.5,0,2500,C,EUR,-999
SV075543826,545656,51.343974,12.367733,Leipzig,04109,04,DE,1,AIR,100,AIR,303,0,0,4146532.75,0,0,C,EUR,-999
SV075597949,488094,50.563151,8.499386,Wetzlar,35576,35,DE,1,AIR,100,AIR,303,0,0,521696,0,2500,C,EUR,-999
SV075597949,488128,50.571473,8.494018,Wetzlar,35713,35,DE,1,AIR,100,AIR,303,0,0,607184,0,2500,C,EUR,-999
SV074736200,535627,51.442356,14.2559,Hoyerswerda,02977,02,DE,1,AIR,100,AIR,303,0,0,1548701,0,2500,C,EUR,-999
SV074735438,532574,52.174461,13.402642,Am Mellensee,15838,15,DE,1,AIR,100,AIR,303,0,0,705390,0,2500,C,EUR,-999
SV075064787,532111,53.535274,10.227418,Glinde,21509,21,DE,1,AIR,100,AIR,303,0,0,1203928,0,5000,C,EUR,-999
SV074693647,532145,51.419743,7.024895,Essen,45134,45,DE,1,AIR,100,AIR,303,0,0,1092346.625,0,5000,C,EUR,-999
SV074735751,533452,51.587583,13.997531,Gro▀rõschen,01983,01,DE,1,AIR,100,AIR,303,0,0,1196832,0,2500,C,EUR,-999
SV074744314,534903,53.066128,14.262808,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1484528,0,5000,C,EUR,-999
SV074678201,531884,53.174692,8.656495,Bremen,28757,28,DE,1,AIR,100,AIR,303,0,0,342921,0,5000,C,EUR,-999
SV074744314,534204,53.063757,14.260748,Schwedt/O.,16303,16,DE,1,AIR,100,AIR,303,0,0,1418075,0,5000,C,EUR,-999
SV074746970,535435,52.665717,13.494396,Panketal,16341,16,DE,1,AIR,100,AIR,303,0,0,199785.5,0,2500,C,EUR,-999
SV075126895,535454,51.505641,14.64428,Wei▀wasser,02943,02,DE,1,AIR,100,AIR,303,0,0,1993153,0,5000,C,EUR,-999
SV075126895,535471,51.494992,14.642259,Wei▀wasser,02943,02,DE,1,AIR,100,AIR,303,0,0,1635121.875,0,5000,C,EUR,-999
SV074886979,532395,52.685638,13.176262,Velten,16727,16,DE,1,AIR,100,AIR,303,0,0,427440,0,2500,C,EUR,-999
SV074737528,532429,52.299899,13.690738,K÷nigs Wusterhausen,15712,15,DE,1,AIR,100,AIR,303,0,0,1600050.5,0,2500,C,EUR,-999
SV074749210,535282,52.742573,13.234651,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1434317.5,0,5000,C,EUR,-999
SV075588546,521730,51.117586,14.192542,Bischofswerda,01877,01,DE,1,AIR,100,AIR,303,0,0,1196832,0,2500,C,EUR,-999
SV074678201,531604,53.116205,8.768122,Bremen,28237,28,DE,1,AIR,100,AIR,303,0,0,2922778,0,5000,C,EUR,-999
SV074749210,535321,52.744361,13.235807,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1982654.75,0,5000,C,EUR,-999
SV074749210,535370,52.757051,13.242041,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1669390.625,0,5000,C,EUR,-999
SV075620996,522981,53.843045,11.963264,B³tzow,18246,18,DE,1,AIR,100,AIR,303,0,0,1994720,0,0,C,EUR,-999
SV074904909,485486,50.832379,10.595375,Finsterbergen,99898,99,DE,1,AIR,100,AIR,303,0,0,1682689,0,0,C,EUR,-999
SV074886979,532332,52.676194,13.171985,Velten,16727,16,DE,1,AIR,100,AIR,303,0,0,3324533.25,0,2500,C,EUR,-999
SV074744303,534159,52.968142,13.328576,Zehdenick,16792,16,DE,1,AIR,100,AIR,303,0,0,1245987.75,0,0,C,EUR,-999
SV074744303,534161,52.968377,13.328659,Zehdenick,16792,16,DE,1,AIR,100,AIR,303,0,0,1245987.75,0,0,C,EUR,-999
SV074744303,534163,52.968231,13.327922,Zehdenick,16792,16,DE,1,AIR,100,AIR,303,0,0,1210082.75,0,0,C,EUR,-999
SV074678201,531829,53.07084,8.775807,Bremen,28197,28,DE,1,AIR,100,AIR,303,0,0,611781,0,5000,C,EUR,-999
SV074678201,531859,53.178023,8.629198,Bremen,28757,28,DE,1,AIR,100,AIR,303,0,0,405812,0,5000,C,EUR,-999
SV074886979,532346,52.677084,13.176343,Velten,16727,16,DE,1,AIR,100,AIR,303,0,0,2742739.75,0,2500,C,EUR,-999
SV075043194,487975,50.507605,11.130161,Neuhaus,98724,98,DE,1,AIR,100,AIR,303,0,0,2970072,0,5000,C,EUR,-999
SV074749210,535122,52.750731,13.24578,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1701638.75,0,5000,C,EUR,-999
SV074674152,511281,52.532497,13.459428,Berlin,10407,10,DE,1,AIR,100,AIR,303,0,0,1269549.125,0,2500,C,EUR,-999
SV074678201,531412,53.142407,8.715408,Bremen,28719,28,DE,1,AIR,100,AIR,303,0,0,347167,0,5000,C,EUR,-999
SV074749210,535208,52.741828,13.23593,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,686551,0,5000,C,EUR,-999
SV074749210,535254,52.741579,13.234357,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1491290.625,0,5000,C,EUR,-999
SV074678201,531470,53.152501,8.714976,Bremen,28719,28,DE,1,AIR,100,AIR,303,0,0,415187,0,5000,C,EUR,-999
SV074736200,535783,51.434116,14.270221,Hoyerswerda,02977,02,DE,1,AIR,100,AIR,303,0,0,1415795,0,2500,C,EUR,-999
SV075524000,534968,53.1175,13.50411,Boitzenburger Land,17268,17,DE,1,AIR,100,AIR,303,0,0,752294.5,0,5000,C,EUR,-999
SV074749210,535017,52.747244,13.239791,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,1507438.375,0,5000,C,EUR,-999
